mavpackettype,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,_t,t
RCOU,11184691,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451520.140057,9.439556
RCOU,11224675,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451520.180041,9.47954
RCOU,11264659,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451520.220025,9.519524
RCOU,11304643,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451520.260009,9.559508
RCOU,11344627,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451520.299993,9.599492
RCOU,11384611,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451520.339977,9.639476
RCOU,11424595,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451520.3799613,9.67946
RCOU,11464579,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451520.4199452,9.719444
RCOU,11504563,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451520.4599292,9.759428
RCOU,11544547,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451520.4999132,9.799412
RCOU,11584531,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451520.5398972,9.839396
RCOU,11624515,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451520.5798812,9.87938
